Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Porcentaje de población española;2022;80,2
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Edad media de la población;2022;42,9
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Porcentaje de población menor de 18 años;2022;7
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Porcentaje de población de 65 y más años;2022;13
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Población;2022;1.234
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Porcentaje de población española;2022;69,9
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Edad media de la población;2022;39,3
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Porcentaje de población menor de 18 años;2022;11,3
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Porcentaje de población de 65 y más años;2022;8,7
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Población;2022;1.511
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Porcentaje de población española;2022;58,3
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Edad media de la población;2022;42,4
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Porcentaje de población menor de 18 años;2022;11,1
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Porcentaje de población de 65 y más años;2022;15,1
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Población;2022;1.439
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Porcentaje de población española;2022;73,3
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Edad media de la población;2022;41,6
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Porcentaje de población menor de 18 años;2022;8,5
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Porcentaje de población de 65 y más años;2022;11,3
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Población;2022;1.136
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Porcentaje de población española;2022;71,9
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Edad media de la población;2022;43,2
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Porcentaje de población menor de 18 años;2022;10,6
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Porcentaje de población de 65 y más años;2022;13,8
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Población;2022;1.038
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Porcentaje de población española;2022;75,7
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Edad media de la población;2022;40,2
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Porcentaje de población menor de 18 años;2022;10,7
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Porcentaje de población de 65 y más años;2022;10,2
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Población;2022;1.260
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Porcentaje de población española;2022;64
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Edad media de la población;2022;42,3
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Porcentaje de población menor de 18 años;2022;9,1
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Porcentaje de población de 65 y más años;2022;15
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Población;2022;1.031
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Porcentaje de población española;2022;70,2
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Edad media de la población;2022;41,5
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Porcentaje de población menor de 18 años;2022;11,6
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Porcentaje de población de 65 y más años;2022;12,7
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Población;2022;821
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Porcentaje de población española;2022;72,2
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Edad media de la población;2022;41,8
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Porcentaje de población menor de 18 años;2022;7,8
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Porcentaje de población de 65 y más años;2022;12,8
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Población;2022;948
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Porcentaje de población española;2022;67,4
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Edad media de la población;2022;43,3
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Porcentaje de población menor de 18 años;2022;7
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Porcentaje de población de 65 y más años;2022;16,3
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Población;2022;978
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Porcentaje de población española;2022;72,4
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Edad media de la población;2022;41,1
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Porcentaje de población menor de 18 años;2022;10,2
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Porcentaje de población de 65 y más años;2022;10,5
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Población;2022;1.145
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Porcentaje de población española;2022;62,9
28079 Madrid;2807901 Madrid distrito 01;2807901045 Madrid sección 01045;Edad media de la población;2022;42
28079 Madrid;2807901 Madrid distrito 01;2807901045 Madrid sección 01045;Porcentaje de población menor de 18 años;2022;7,4
28079 Madrid;2807901 Madrid distrito 01;2807901045 Madrid sección 01045;Porcentaje de población de 65 y más años;2022;12,9
28079 Madrid;2807901 Madrid distrito 01;2807901045 Madrid sección 01045;Población;2022;1.330
28079 Madrid;2807901 Madrid distrito 01;2807901045 Madrid sección 01045;Porcentaje de población española;2022;67,7
28079 Madrid;2807901 Madrid distrito 01;2807901046 Madrid sección 01046;Edad media de la población;2022;43,6
28079 Madrid;2807901 Madrid distrito 01;2807901046 Madrid sección 01046;Porcentaje de población menor de 18 años;2022;8,5
28079 Madrid;2807901 Madrid distrito 01;2807901046 Madrid sección 01046;Porcentaje de población de 65 y más años;2022;16,1
28079 Madrid;2807901 Madrid distrito 01;2807901046 Madrid sección 01046;Población;2022;1.533
28079 Madrid;2807901 Madrid distrito 01;2807901046 Madrid sección 01046;Porcentaje de población española;2022;69,3
28079 Madrid;2807901 Madrid distrito 01;2807901047 Madrid sección 01047;Edad media de la población;2022;40,5
28079 Madrid;2807901 Madrid distrito 01;2807901047 Madrid sección 01047;Porcentaje de población menor de 18 años;2022;9,8
28079 Madrid;2807901 Madrid distrito 01;2807901047 Madrid sección 01047;Porcentaje de población de 65 y más años;2022;9,4
28079 Madrid;2807901 Madrid distrito 01;2807901047 Madrid sección 01047;Población;2022;2.189
28079 Madrid;2807901 Madrid distrito 01;2807901047 Madrid sección 01047;Porcentaje de población española;2022;62,3
28079 Madrid;2807901 Madrid distrito 01;2807901048 Madrid sección 01048;Edad media de la población;2022;41,9
28079 Madrid;2807901 Madrid distrito 01;2807901048 Madrid sección 01048;Porcentaje de población menor de 18 años;2022;9,2
28079 Madrid;2807901 Madrid distrito 01;2807901048 Madrid sección 01048;Porcentaje de población de 65 y más años;2022;13,1
28079 Madrid;2807901 Madrid distrito 01;2807901048 Madrid sección 01048;Población;2022;1.191
28079 Madrid;2807901 Madrid distrito 01;2807901048 Madrid sección 01048;Porcentaje de población española;2022;68,4
28079 Madrid;2807901 Madrid distrito 01;2807901049 Madrid sección 01049;Edad media de la población;2022;41,3
28079 Madrid;2807901 Madrid distrito 01;2807901049 Madrid sección 01049;Porcentaje de población menor de 18 años;2022;8,4
28079 Madrid;2807901 Madrid distrito 01;2807901049 Madrid sección 01049;Porcentaje de población de 65 y más años;2022;12,4
28079 Madrid;2807901 Madrid distrito 01;2807901049 Madrid sección 01049;Población;2022;1.235
28079 Madrid;2807901 Madrid distrito 01;2807901049 Madrid sección 01049;Porcentaje de población española;2022;63,2
28079 Madrid;2807901 Madrid distrito 01;2807901050 Madrid sección 01050;Edad media de la población;2022;42,2
28079 Madrid;2807901 Madrid distrito 01;2807901050 Madrid sección 01050;Porcentaje de población menor de 18 años;2022;7,9
28079 Madrid;2807901 Madrid distrito 01;2807901050 Madrid sección 01050;Porcentaje de población de 65 y más años;2022;12,3
28079 Madrid;2807901 Madrid distrito 01;2807901050 Madrid sección 01050;Población;2022;1.280
28079 Madrid;2807901 Madrid distrito 01;2807901050 Madrid sección 01050;Porcentaje de población española;2022;67,8
28079 Madrid;2807901 Madrid distrito 01;2807901051 Madrid sección 01051;Edad media de la población;2022;40,8
28079 Madrid;2807901 Madrid distrito 01;2807901051 Madrid sección 01051;Porcentaje de población menor de 18 años;2022;8,5
28079 Madrid;2807901 Madrid distrito 01;2807901051 Madrid sección 01051;Porcentaje de población de 65 y más años;2022;10,1
28079 Madrid;2807901 Madrid distrito 01;2807901051 Madrid sección 01051;Población;2022;1.410
28079 Madrid;2807901 Madrid distrito 01;2807901051 Madrid sección 01051;Porcentaje de población española;2022;61,9
28079 Madrid;2807901 Madrid distrito 01;2807901053 Madrid sección 01053;Edad media de la población;2022;43,9
28079 Madrid;2807901 Madrid distrito 01;2807901053 Madrid sección 01053;Porcentaje de población menor de 18 años;2022;7
28079 Madrid;2807901 Madrid distrito 01;2807901053 Madrid sección 01053;Porcentaje de población de 65 y más años;2022;14,1
28079 Madrid;2807901 Madrid distrito 01;2807901053 Madrid sección 01053;Población;2022;1.280
28079 Madrid;2807901 Madrid distrito 01;2807901053 Madrid sección 01053;Porcentaje de población española;2022;71,6
28079 Madrid;2807901 Madrid distrito 01;2807901054 Madrid sección 01054;Edad media de la población;2022;42,7
28079 Madrid;2807901 Madrid distrito 01;2807901054 Madrid sección 01054;Porcentaje de población menor de 18 años;2022;8,5
28079 Madrid;2807901 Madrid distrito 01;2807901054 Madrid sección 01054;Porcentaje de población de 65 y más años;2022;15
28079 Madrid;2807901 Madrid distrito 01;2807901054 Madrid sección 01054;Población;2022;881
28079 Madrid;2807901 Madrid distrito 01;2807901054 Madrid sección 01054;Porcentaje de población española;2022;70,3
28079 Madrid;2807901 Madrid distrito 01;2807901055 Madrid sección 01055;Edad media de la población;2022;45,5
28079 Madrid;2807901 Madrid distrito 01;2807901055 Madrid sección 01055;Porcentaje de población menor de 18 años;2022;8,9
28079 Madrid;2807901 Madrid distrito 01;2807901055 Madrid sección 01055;Porcentaje de población de 65 y más años;2022;18,7
28079 Madrid;2807901 Madrid distrito 01;2807901055 Madrid sección 01055;Población;2022;1.009
28079 Madrid;2807901 Madrid distrito 01;2807901055 Madrid sección 01055;Porcentaje de población española;2022;81,2
28079 Madrid;2807901 Madrid distrito 01;2807901056 Madrid sección 01056;Edad media de la población;2022;46,8
28079 Madrid;2807901 Madrid distrito 01;2807901056 Madrid sección 01056;Porcentaje de población menor de 18 años;2022;9,1
28079 Madrid;2807901 Madrid distrito 01;2807901056 Madrid sección 01056;Porcentaje de población de 65 y más años;2022;22,7
28079 Madrid;2807901 Madrid distrito 01;2807901056 Madrid sección 01056;Población;2022;894
28079 Madrid;2807901 Madrid distrito 01;2807901056 Madrid sección 01056;Porcentaje de población española;2022;84,6
28079 Madrid;2807901 Madrid distrito 01;2807901057 Madrid sección 01057;Edad media de la población;2022;49,4
